107100004731	,三八新村,3室1厅,90平米,2800
107002166796	,丽水雅苑北苑,3室1厅,81平米,1100
107001537264	,鸿音广场,1室0厅,49平米,1300
107002472870	,万达广场(周浦),1室1厅,57平米,3000
107002408346	,梅花路169弄,3室2厅,109平米,3000
107002265768	,远洋万和四季,3室1厅,100平米,1700
107100029434	,万达广场(周浦),1室1厅,54平米,3100
107100040154	,古佳苑,1室1厅,59平米,1300
107001236226	,汇锦城二期,3室1厅,90平米,2400
107001253904	,德盈佳园,3室2厅,130平米,1500
107002077796	,人民东路2785弄,2室2厅,113平米,3200
107001281072	,德盈佳园,2室2厅,91平米,2200
107002443348	,泰燕华庭,2室2厅,94平米,2800
107002462906	,万达广场(周浦),1室1厅,56平米,2800
107100033650	,乾耀东港,3室2厅,122平米,1300
107100096547	,东南三村,2室1厅,67平米,3200
107100053228	,丝庐雅苑(公寓),2室2厅,89平米,1800
107100204946	,祝和苑,1室1厅,53平米,2200
107100197530	,禹洲商业广场,1室1厅,56平米,2200
107002218562	,丽水雅苑北苑,3室1厅,83平米,1000
107002361690	,康敏苑,2室2厅,105平米,1800
107002335420	,人生港湾南欧城,3室2厅,115平米,3200
107002214960	,云帆佳苑,2室2厅,82平米,1000
107001835814	,爱盛家园,2室2厅,113平米,3000
107002413260	,长城珑湾,1室1厅,69平米,2400
107100097568	,乾耀东港,2室1厅,86平米,2000
107002514250	,工农南路59弄,2室2厅,97平米,2500
107001098912	,艺泰安邦,3室2厅,133平米,3500
107002449234	,绿地峰汇,1室1厅,55平米,2700
107002454026	,潼港五村,3室2厅,105平米,3600
107002578372	,千汇苑,3室2厅,125平米,2500
107002024140	,东三小区,1室1厅,40平米,3600
107002528324	,城南东路154弄,2室2厅,115平米,2200
107002308372	,汇腾南苑,3室2厅,115平米,2800
107002227692	,金海商业广场,1室1厅,56平米,3500
107100056400	,航城园,2室1厅,82平米,2200
107000111998	,城基路148弄,3室2厅,136平米,3200
107100005344	,三八路110弄,2室2厅,114平米,2800
107002475652	,工农新村(新场),2室1厅,60平米,2300
107002536218	,航城园,3室2厅,114平米,3000
107100006075	,航城园,2室1厅,82平米,1800
107100076941	,百花新村,2室2厅,85平米,3800
107100108658	,南粮新村,2室2厅,100平米,2400
107100156710	,德盈佳园,2室1厅,60平米,2100
107100188915	,人生港湾南欧城,2室2厅,105平米,3200
107100222958	,丝庐雅苑(公寓),2室2厅,88平米,1500
107100281593	,绿地峰汇,2室1厅,52平米,2000
107100283059	,粤亮湾景苑,1室1厅,60平米,2000
107100304647	,东城花苑一村,2室2厅,96平米,2800
107100324479	,龙源星城,1室1厅,60平米,2400
107000723250	,金源商厦,3室2厅,105平米,2900
107002266144	,徐家宅41号,3室1厅,125平米,3000
107002399846	,农场路16号,3室1厅,100平米,2500
107100055187	,海尚康庭,2室2厅,73平米,2500
107100101285	,禹洲商业广场,1室1厅,56平米,2200
107100044380	,荡湾新村,2室1厅,54平米,1800
107100130943	,思凡花苑六街坊,3室1厅,99平米,2800
107100161574	,千汇苑二村,2室2厅,80平米,1500
107100162224	,德盈佳园,2室2厅,82平米,2000
107100034156	,东方城市豪庭,3室2厅,108平米,2000
107100316585	,华盛新村,3室2厅,97平米,2200
107002423618	,华汇公寓,4室3厅,154平米,3500
107002167090	,新舒苑,3室2厅,124平米,1000
107002357658	,阳光城丽景湾PLUS,2室2厅,89平米,3500
107002295120	,潼港一村,2室1厅,70平米,3000
107001955966	,惠康苑西苑,2室2厅,80平米,2800
107002536722	,汇腾南苑,2室1厅,79平米,3500
107002551222	,海尚康庭,2室1厅,72平米,3500
107002530434	,禹洲商业广场,1室1厅,56平米,2600
107100056779	,惠房苑,2室2厅,100平米,2600
107100144373	,荡湾新村,2室1厅,50平米,1800
107100251372	,东方鸿璟,2室1厅,86平米,3500
107100262708	,碧桂园浦东南郡,2室2厅,106平米,3800
107100265460	,汇康公寓,3室2厅,113平米,3380
107100279983	,鑫源物业小区,2室1厅,74平米,3200
107100304670	,鹏润伊顿公馆,2室1厅,74平米,2300
107100316333	,海曲雅苑,1室1厅,67平米,1900
107100321771	,朗诗里程,2室1厅,78平米,1700
107100181817	,申雅苑,2室2厅,83平米,3200
107100201688	,东方城市豪庭,2室1厅,66平米,2200
107100217213	,欣兰苑,2室1厅,94平米,1200
107100278981	,惠益新苑,1室1厅,58平米,1000
107100261374	,祝和苑,3室2厅,106平米,1800
107100297897	,龙馨公寓,3室2厅,124平米,3600
107100309001	,晨阳小区,2室1厅,75平米,2800
107100325223	,城南居委小区,2室1厅,54平米,2500
107100396568	,美林小城,2室2厅,94平米,3500
107100395907	,汇腾南苑,2室1厅,78平米,3000
107100396954	,金杨六街坊,1室1厅,41平米,3800
107100415861	,宣桥枫庭,3室1厅,88平米,2300
SH0005508107	,高行绿洲(二期),3室1厅,9平米,1590
SH0005536116	,恒大翰城瀚林苑,4室1厅,11平米,1990
SH0005524428	,名扬佳园,3室1厅,11平米,1590
SH0005528675	,恒大华城新华苑,2室1厅,10平米,2360
SH0005546790	,川杨新苑(二期),3室1厅,8平米,1830
SH0005513742	,伟业金锦苑三村,3室1厅,12平米,2060
SH0005518214	,川杨新苑(一期),3室1厅,8平米,2060
SH0005517361	,证大家园(公寓),5室1厅,12平米,2430
SH0004847953	,东方晶华园,3室1厅,11平米,1590
SH0005526802	,张江汤臣豪园(二期),4室1厅,16平米,3890
SH0005528176	,源城锦翠苑,3室1厅,11平米,2260
SH0005502171	,海院新村,3室1厅,12平米,2560
SH0005495802	,保利金爵公寓,4室1厅,11平米,2030
SH0005529980	,金杨新村十街坊,3室1厅,14平米,2630
SH0005529981	,金杨新村十街坊,3室1厅,15平米,2230
SH0005524586	,临沂三村,1室1厅,39平米,3890
SH0005556652	,东方丽景,3室1厅,15平米,2590
SH0004801066	,德州五村,3室1厅,13平米,2230
SH0005534706	,贵龙园,4室1厅,12平米,2490
SH0004906713	,玉兰香苑(四期),4室1厅,7平米,1960
SH0005505384	,唐人苑,4室1厅,19平米,2030
SH0005543741	,珠光苑,3室1厅,17平米,2290
SH0005523759	,宁怡苑,4室1厅,14平米,1690
SH0005551500	,伟莱家园,4室1厅,12平米,1960
SH0004908059	,玉兰香苑(二期),4室1厅,14平米,2360
SH0005523757	,秀怡苑,3室1厅,11平米,2160
SH0004960251	,胡姬花园,3室1厅,13平米,3090
SH0005531825	,羽山路1000弄,5室1厅,7平米,1830
SH0005359998	,浦江东旭公寓,3室1厅,9平米,2130
SH0005496870	,嘉德公寓,4室1厅,9平米,2890
107002463328	,禹洲商业广场,1室1厅,64平米,1600
107001003930	,丽水雅苑,3室1厅,81平米,1200
107100494646	,车站路2号,2室1厅,94平米,2700
107100465265	,书院一号公寓,1室1厅,65平米,1500
107002323134	,东亚启航公馆,2室1厅,78平米,2000
107100295651	,中远行家,1室0厅,26平米,3500
107002476656	,丽水雅苑北苑,2室1厅,71平米,1300
107002535392	,禹洲商业广场,1室1厅,56平米,2800
107100196462	,德盈佳园,2室1厅,89平米,1200
107001145560	,蓝色城邦(公寓),2室2厅,88平米,2200
107100454938	,欧风家园,3室2厅,94平米,2500
107100532766	,公元新村,2室1厅,42平米,2300
107100495456	,金领国际(公寓),2室2厅,85平米,3800
107100502155	,东方城市豪庭,2室1厅,105平米,1800
107100517567	,龙泽家园,1室2厅,60平米,3100
107100519658	,双秀南园,1室2厅,110平米,3200
SH0004801602	,保集澜湾(公寓),4室1厅,8平米,1360
107100521056	,毕加索小镇(二期)(别墅),1室1厅,216平米,3800
107100526737	,欧风家园,2室1厅,71平米,3300
SH0004887142	,园西小区,3室1厅,14平米,1760
107100521104	,寺前浜,1室1厅,38平米,3800
107100394101	,新舒苑,3室2厅,103平米,2000
107002249268	,远洋万和四季,3室2厅,100平米,1300
107100353679	,绿川新苑,1室1厅,50平米,3500
107100468327	,东方听潮豪园,2室2厅,121平米,3800
107100520275	,上南十一村,1室1厅,42平米,3800
107100480751	,海通新村,3室2厅,96平米,3800
107100351456	,绿川新苑,2室1厅,62平米,3800
SH0004796025	,锦绣满堂花园,4室1厅,16平米,3090
107100522805	,博山小区,1室1厅,54平米,3500
107100161509	,逸亭佳苑,2室2厅,90平米,3800
107100316043	,祝康南苑,3室2厅,125平米,2000
107100339087	,千汇苑二村,2室1厅,61平米,2200
107100377782	,朗诗里程,3室2厅,88平米,2000
107100395897	,汇腾南苑,2室1厅,78平米,3100
107100381199	,新凤凰城,2室2厅,108平米,3500
107100382859	,祝和苑,2室2厅,80平米,1600
107100408829	,桃李园小区,3室2厅,120平米,2800
107100419286	,丽水雅苑,3室1厅,82平米,2000
107100423341	,祝和苑,3室1厅,105平米,2000
107100263091	,丽水雅苑北苑,3室1厅,82平米,1200
107100315033	,金汇广场,3室2厅,95平米,3200
107100304370	,朗诗未来树,2室2厅,81平米,3000
107100322454	,德盈佳园,2室1厅,92平米,1300
107100318561	,朗诗未来树,3室2厅,78平米,3000
107100446225	,朗诗未来树,3室2厅,81平米,3200
107100462567	,印象春城,2室1厅,88平米,3100
107002098464	,欧风家园,3室2厅,102平米,3000
107001986490	,听潮民乐苑,3室2厅,113平米,2900
107001001790	,中洲里程,3室2厅,93平米,2100
